ID,段位,机器人俱乐部等级,积分增加间隔,单次增加积分范围,上限人数
ID,Grade,Level,PointsTime,PointsScope,Member
int,string,int,float,int[],int
1,BRONZE,1,1.5,560000|600000,20
2,BRONZE,2,2,700000|740000,20
3,BRONZE,3,2.5,720000|760000,20
4,SILVER I,1,1.5,560000|600000,26
5,SILVER I,2,2,700000|740000,26
6,SILVER I,3,2.5,720000|760000,20
7,SILVER II,1,1.5,560000|600000,30
8,SILVER II,2,2,700000|740000,26
9,SILVER II,3,2.5,720000|760000,20
10,SILVER III,1,1.5,560000|600000,40
11,SILVER III,2,2,700000|740000,35
12,SILVER III,3,2.5,720000|760000,30
13,GOLD I,1,1.5,616000|660000,60
14,GOLD I,2,2,735000|777000,55
15,GOLD I,3,2.5,756000|798000,50
16,GOLD II,1,1.5,616000|660000,65
17,GOLD II,2,2,735000|777000,65
18,GOLD II,3,2.5,756000|798000,50
19,GOLD III,1,1.5,616000|660000,80
20,GOLD III,2,2,735000|777000,70
21,GOLD III,3,2.5,756000|798000,65
22,DIAMOND I,1,1.5,646800|693000,80
23,DIAMOND I,2,2,735000|777000,75
24,DIAMOND I,3,2.5,756000|798000,75
25,DIAMOND II,1,1.5,646800|693000,85
26,DIAMOND II,2,2,735000|777000,80
27,DIAMOND II,3,2.5,756000|798000,75
28,DIAMOND III,1,1.5,646800|693000,90
29,DIAMOND III,2,2,735000|777000,85
30,DIAMOND III,3,2.5,756000|798000,85
31,MASTER,1,0.5,680000|727000,100
32,MASTER,2,1,770000|800000,95
33,MASTER,3,1,756000|798000,95
