ID,段位ID,段位等级,排名等级,道具奖励,段位奖励,奖励ID
ID,Grade_Id,Grade_Level,Level,Reward_Props,Reward_Grade,Reward_Id
int,int,string,int[],int[],string,int
1,101,BRONZE,1,60010101|120000000,SILVER I,101
2,101,BRONZE,2,60010101|60000000,SILVER I,102
3,101,BRONZE,3,60010101|30000000,SILVER I,103
4,101,BRONZE,4|10,60010101|15000000,BRONZE,104
5,101,BRONZE,11|20,60010101|7500000,BRONZE,105
7,201,SILVER I,1,60010101|120000000,SILVER II,201
8,201,SILVER I,2,60010101|60000000,SILVER II,202
9,201,SILVER I,3,60010101|30000000,SILVER II,203
10,201,SILVER I,4|10,60010101|15000000,SILVER I,204
11,201,SILVER I,11|20,60010101|7500000,BRONZE,205
13,202,SILVER II,1,60010101|120000000,SILVER III,211
14,202,SILVER II,2,60010101|60000000,SILVER III,212
15,202,SILVER II,3,60010101|30000000,SILVER III,213
16,202,SILVER II,4|10,60010101|15000000,SILVER II,214
17,202,SILVER II,11|20,60010101|7500000,SILVER I,215
19,203,SILVER III,1,60010101|120000000,GOLD I,221
20,203,SILVER III,2,60010101|60000000,GOLD I,222
21,203,SILVER III,3,60010101|30000000,GOLD I,223
22,203,SILVER III,4|10,60010101|15000000,SILVER III,224
23,203,SILVER III,11|20,60010101|7500000,SILVER II,225
25,301,GOLD I,1,60010101|120000000,GOLD II,301
26,301,GOLD I,2,60010101|60000000,GOLD II,302
27,301,GOLD I,3,60010101|30000000,GOLD II,303
28,301,GOLD I,4|10,60010101|15000000,GOLD I,304
29,301,GOLD I,11|20,60010101|7500000,SILVER III,305
31,302,GOLD II,1,60010101|120000000,GOLD III,311
32,302,GOLD II,2,60010101|60000000,GOLD III,312
33,302,GOLD II,3,60010101|30000000,GOLD III,313
34,302,GOLD II,4|10,60010101|15000000,GOLD II,314
35,302,GOLD II,11|20,60010101|7500000,GOLD I,315
37,303,GOLD III,1,60010101|120000000,DIAMOND I,321
38,303,GOLD III,2,60010101|60000000,DIAMOND I,322
39,303,GOLD III,3,60010101|30000000,DIAMOND I,323
40,303,GOLD III,4|10,60010101|15000000,GOLD III,324
41,303,GOLD III,11|20,60010101|7500000,GOLD II,325
43,401,DIAMOND I,1,60010101|120000000,DIAMOND II,401
44,401,DIAMOND I,2,60010101|60000000,DIAMOND II,402
45,401,DIAMOND I,3,60010101|30000000,DIAMOND II,403
46,401,DIAMOND I,4|10,60010101|15000000,DIAMOND I,404
47,401,DIAMOND I,11|20,60010101|7500000,GOLD III,405
49,402,DIAMOND II,1,60010101|120000000,DIAMOND III,411
50,402,DIAMOND II,2,60010101|60000000,DIAMOND III,412
51,402,DIAMOND II,3,60010101|30000000,DIAMOND III,413
52,402,DIAMOND II,4|10,60010101|15000000,DIAMOND II,414
53,402,DIAMOND II,11|20,60010101|7500000,DIAMOND I,415
55,403,DIAMOND III,1,60010101|120000000,MASTER,421
56,403,DIAMOND III,2,60010101|60000000,MASTER,422
57,403,DIAMOND III,3,60010101|30000000,MASTER,423
58,403,DIAMOND III,4|10,60010101|15000000,DIAMOND III,424
59,403,DIAMOND III,11|20,60010101|7500000,DIAMOND II,425
61,501,MASTER,1,60010101|120000000,MASTER,501
62,501,MASTER,2,60010101|60000000,MASTER,502
63,501,MASTER,3,60010101|30000000,MASTER,503
64,501,MASTER,4|10,60010101|15000000,MASTER,504
65,501,MASTER,11|20,60010101|7500000,DIAMOND III,505
