ID,等级,捐献进度值,捐献金额,人数上限,奖励上限,奖励时间上限,解锁称谓,特殊称谓数量
ID,ClubLevel,Donate,DonateCoin,Member,RewardLimit,TimeLimit,Title,CoLeaderLimit
int,int,int,int,int,int,float,string,int
1,1,,200000,20,10,,"Leader,Points MVP,Member",
2,2,20,250000,22,12,0.01,"Leader,Donate MVP,Points MVP,Member",
3,3,24,500000,24,12,0.015,"Leader,Donate MVP,Points MVP,Member",
4,4,26,750000,26,14,0.02,"Leader,Co-Leader,Donate MVP,Points MVP,Member",1
5,5,30,1000000,28,14,0.02,"Leader,Co-Leader,Donate MVP,Points MVP,Member",1
6,6,30,1500000,30,16,0.025,"Leader,Co-Leader,Donate MVP,Points MVP,Member",2
7,7,40,2000000,35,16,0.025,"Leader,Co-Leader,Donate MVP,Points MVP,Member",2
8,8,40,2000000,40,18,0.03,"Leader,Co-Leader,Donate MVP,Points MVP,Member",2
9,9,50,2250000,45,18,0.03,"Leader,Co-Leader,Donate MVP,Points MVP,Member",2
10,10,50,2250000,50,20,0.035,"Leader,Co-Leader,Donate MVP,Points MVP,Member",3
11,11,60,2500000,55,20,0.035,"Leader,Co-Leader,Donate MVP,Points MVP,Member",3
12,12,60,2500000,60,22,0.04,"Leader,Co-Leader,Donate MVP,Points MVP,Member",3
13,13,70,2750000,65,22,0.04,"Leader,Co-Leader,Donate MVP,Points MVP,Member",3
14,14,70,2750000,70,24,0.05,"Leader,Co-Leader,Donate MVP,Points MVP,Member",4
15,15,80,3000000,75,24,0.05,"Leader,Co-Leader,Donate MVP,Points MVP,Member",4
16,16,80,3000000,80,26,0.06,"Leader,Co-Leader,Donate MVP,Points MVP,Member",4
17,17,90,3500000,85,26,0.06,"Leader,Co-Leader,Donate MVP,Points MVP,Member",4
18,18,90,3500000,90,28,0.07,"Leader,Co-Leader,Donate MVP,Points MVP,Member",5
19,19,100,4000000,95,28,0.07,"Leader,Co-Leader,Donate MVP,Points MVP,Member",5
20,20,100,4000000,100,30,0.08,"Leader,Co-Leader,Donate MVP,Points MVP,Member",5
