ID,赛季开启时间,赛季结束时间
ID,SeasonStart,SeasonEnd
int,string,string
1,2025|2|17,2025|3|2
2,2025|3|3,2025|3|16
3,2025|3|17,2025|3|30
4,2025|3|31,2025|4|13
5,2025|4|14,2025|4|27
6,2025|4|28,2025|5|11
7,2025|5|12,2025|5|25
8,2025|5|26,2025|6|8
9,2025|6|9,2025|6|22
10,2025|6|23,2025|7|6
11,2025|7|7,2025|7|20
12,2025|7|21,2025|8|3
13,2025|8|4,2025|8|17
14,2025|8|18,2025|8|31
15,2025|9|1,2025|9|14
16,2025|9|15,2025|9|28
17,2025|9|29,2025|10|12
18,2025|10|13,2025|10|26
19,2025|10|27,2025|11|9
20,2025|11|10,2025|11|23
21,2025|11|24,2025|12|7
22,2025|12|8,2025|12|21
23,2025|12|22,2026|1|4
